date,n_orders,month_sin,month_cos,week_sin,week_cos,is_black_friday,is_december,is_peak_season,orders_x_bf,orders_x_peak,revenue
2017-08-07,968,-0.8660254037844385,-0.5000000000000004,-0.6068001458185934,-0.7948544414133533,0,0,0,0,0,144069.6
2017-08-14,907,-0.8660254037844385,-0.5000000000000004,-0.6965510290629969,-0.7175072570443312,0,0,0,0,0,140131.93
2017-08-21,1027,-0.8660254037844385,-0.5000000000000004,-0.7765238627180425,-0.6300878435817109,0,0,0,0,0,147008.41
2017-08-28,840,-0.8660254037844385,-0.5000000000000004,-0.845596003501826,-0.533823377964791,0,0,0,0,0,122276.54
2017-09-04,976,-1.0,-1.8369701987210297e-16,-0.9027978299657435,-0.4300652022765204,0,0,0,0,0,203260.34
2017-09-11,908,-1.0,-1.8369701987210297e-16,-0.9473263538541913,-0.32026985386283807,0,0,0,0,0,149401.17
2017-09-18,1139,-1.0,-1.8369701987210297e-16,-0.9785564922995039,-0.2059786187410985,0,0,0,0,0,185830.31
2017-09-25,906,-1.0,-1.8369701987210297e-16,-0.9960498426152169,-0.08879589532293546,0,0,0,0,0,135455.76
2017-10-02,936,-0.8660254037844386,0.5000000000000001,-0.9995608365087943,0.02963332782255942,0,0,0,0,0,165461.91
2017-10-09,1022,-0.8660254037844386,0.5000000000000001,-0.9890401873221641,0.14764656400248038,0,0,0,0,0,172444.41
2017-10-16,1031,-0.8660254037844386,0.5000000000000001,-0.9646355819083585,0.263587166069068,0,0,0,0,0,171975.4
2017-10-23,1069,-0.8660254037844386,0.5000000000000001,-0.9266896074318335,0.375827582114238,0,0,0,0,0,178505.58
2017-10-30,936,-0.8660254037844386,0.5000000000000001,-0.8757349421956372,0.48279220273074425,0,0,0,0,0,155444.57
2017-11-06,944,-0.5000000000000004,0.8660254037844384,-0.8124868780056815,0.5829794791144718,0,0,1,0,944,172645.75
2017-11-13,1183,-0.5000000000000004,0.8660254037844384,-0.7378332790417279,0.6749830015182099,0,0,1,0,1183,176548.46
2017-11-20,1281,-0.5000000000000004,0.8660254037844384,-0.6528221181905214,0.7575112421616204,1,0,1,1281,1281,221749.44
2017-11-27,3091,-0.5000000000000004,0.8660254037844384,-0.5586467658036526,0.8294056854502017,1,0,1,3091,3091,470947.05
2017-12-04,1974,-2.4492935982947064e-16,1.0,-0.45662923739371375,0.889657090994747,0,1,1,0,1974,303752.18
2017-12-11,1571,-2.4492935982947064e-16,1.0,-0.34820163543439914,0.9374196611341208,0,1,1,0,1571,238991.28
2017-12-18,1310,-2.4492935982947064e-16,1.0,-0.23488604578098374,0.9720229140804107,0,1,1,0,1310,209033.36
2017-12-25,833,-2.4492935982947064e-16,1.0,-0.11827317092136551,0.992981096013517,0,1,1,0,833,124558.16
2018-01-01,843,0.49999999999999994,0.8660254037844387,0.1182731709213658,0.9929810960135169,0,0,0,0,0,113223.41
2018-01-08,1556,0.49999999999999994,0.8660254037844387,0.23488604578098368,0.9720229140804107,0,0,0,0,0,243247.58
2018-01-15,1751,0.49999999999999994,0.8660254037844387,0.34820163543439875,0.9374196611341209,0,0,0,0,0,271299.72000000003
2018-01-22,1709,0.49999999999999994,0.8660254037844387,0.4566292373937131,0.8896570909947473,0,0,0,0,0,250207.15
2018-01-29,1482,0.49999999999999994,0.8660254037844387,0.5586467658036525,0.8294056854502019,0,0,0,0,0,233536.06
2018-02-05,1584,0.8660254037844386,0.5000000000000001,0.6528221181905216,0.7575112421616201,0,0,0,0,0,233645.53
2018-02-12,1490,0.8660254037844386,0.5000000000000001,0.7378332790417274,0.6749830015182106,0,0,0,0,0,218377.95
2018-02-19,1632,0.8660254037844386,0.5000000000000001,0.8124868780056813,0.5829794791144721,0,0,0,0,0,228803.5
2018-02-26,1752,0.8660254037844386,0.5000000000000001,0.8757349421956369,0.48279220273074486,0,0,0,0,0,259070.88
2018-03-05,1811,1.0,6.123233995736766e-17,0.9266896074318334,0.3758275821142382,0,0,0,0,0,289765.38
2018-03-12,1574,1.0,6.123233995736766e-17,0.9646355819083586,0.2635871660690678,0,0,0,0,0,253014.4
2018-03-19,1606,1.0,6.123233995736766e-17,0.9890401873221639,0.14764656400248127,0,0,0,0,0,263808.33
2018-03-26,1644,1.0,6.123233995736766e-17,0.9995608365087943,0.029633327822559667,0,0,0,0,0,253921.61
2018-04-02,1439,0.8660254037844387,-0.4999999999999998,0.9960498426152169,-0.08879589532293478,0,0,0,0,0,237487.98
2018-04-09,1531,0.8660254037844387,-0.4999999999999998,0.978556492299504,-0.20597861874109827,0,0,0,0,0,267654.89
2018-04-16,1548,0.8660254037844387,-0.4999999999999998,0.9473263538541914,-0.32026985386283763,0,0,0,0,0,256163.26
2018-04-23,1644,0.8660254037844387,-0.4999999999999998,0.9027978299657434,-0.43006520227652056,0,0,0,0,0,262678.81
2018-04-30,1600,0.8660254037844387,-0.4999999999999998,0.8455960035018261,-0.5338233779647907,0,0,0,0,0,266604.34
2018-05-07,1862,0.49999999999999994,-0.8660254037844387,0.7765238627180424,-0.630087843581711,0,0,0,0,0,298036.87
2018-05-14,1935,0.49999999999999994,-0.8660254037844387,0.6965510290629972,-0.717507257044331,0,0,0,0,0,334269.48
2018-05-21,1649,0.49999999999999994,-0.8660254037844387,0.6068001458185932,-0.7948544414133534,0,0,0,0,0,263673.8
2018-05-28,884,0.49999999999999994,-0.8660254037844387,0.5085311186492207,-0.8610436117673553,0,0,0,0,0,153711.3
2018-06-04,1155,1.2246467991473532e-16,-1.0,0.4031234292879726,-0.9151456172430182,0,0,0,0,0,211478.38
2018-06-11,1494,1.2246467991473532e-16,-1.0,0.29205677063697594,-0.9564009842765224,0,0,0,0,0,263012.59
2018-06-18,1446,1.2246467991473532e-16,-1.0,0.17689027512257316,-0.9842305779475968,0,0,0,0,0,239909.59
2018-06-25,1438,1.2246467991473532e-16,-1.0,0.05924062789371414,-0.9982437317643215,0,0,0,0,0,226676.26
2018-07-02,1337,-0.4999999999999997,-0.8660254037844388,-0.05924062789371389,-0.9982437317643215,0,0,0,0,0,207610.34
2018-07-09,1131,-0.4999999999999997,-0.8660254037844388,-0.1768902751225729,-0.9842305779475968,0,0,0,0,0,178564.86
2018-07-16,1064,-0.4999999999999997,-0.8660254037844388,-0.29205677063697566,-0.9564009842765224,0,0,0,0,0,193871.21
2018-07-23,1709,-0.4999999999999997,-0.8660254037844388,-0.403123429287972,-0.9151456172430186,0,0,0,0,0,269085.47
2018-07-30,1590,-0.4999999999999997,-0.8660254037844388,-0.5085311186492202,-0.8610436117673557,0,0,0,0,0,275891.68
2018-08-06,2087,-0.8660254037844385,-0.5000000000000004,-0.6068001458185934,-0.7948544414133533,0,0,0,0,0,338751.01
2018-08-13,1852,-0.8660254037844385,-0.5000000000000004,-0.6965510290629969,-0.7175072570443312,0,0,0,0,0,301453.77
2018-08-20,1806,-0.8660254037844385,-0.5000000000000004,-0.7765238627180425,-0.6300878435817109,0,0,0,0,0,279380.77
2018-08-27,869,-0.8660254037844385,-0.5000000000000004,-0.845596003501826,-0.533823377964791,0,0,0,0,0,112790.43000000001
2018-09-03,50,-1.0,-1.8369701987210297e-16,-0.9027978299657435,-0.4300652022765204,0,0,0,0,0,5883.92
